@RELATION api/public/arff/all_01012018_01122018.arff 

@ATTRIBUTE duration_ms numeric 
@ATTRIBUTE tempo numeric 
@ATTRIBUTE time_signature numeric 
@ATTRIBUTE mode numeric 
@ATTRIBUTE key numeric 
@ATTRIBUTE loudness numeric 
@ATTRIBUTE danceability numeric 
@ATTRIBUTE energy numeric 
@ATTRIBUTE beatdiff_mean numeric 
@ATTRIBUTE beatdiff_variance numeric 
@ATTRIBUTE beatdiff_skewness numeric 
@ATTRIBUTE beatdiff_kurtosis numeric 
@ATTRIBUTE beatdiff_standard_deviation numeric 
@ATTRIBUTE beatdiff_80th_percentile numeric 
@ATTRIBUTE beatdiff_min numeric 
@ATTRIBUTE beatdiff_max numeric 
@ATTRIBUTE beatdiff_range numeric 
@ATTRIBUTE beatdiff_median numeric 
@ATTRIBUTE timbre_1_mean numeric 
@ATTRIBUTE timbre_1_variance numeric 
@ATTRIBUTE timbre_1_skewness numeric 
@ATTRIBUTE timbre_1_kurtosis numeric 
@ATTRIBUTE timbre_1_standard_deviation numeric 
@ATTRIBUTE timbre_1_80th_percentile numeric 
@ATTRIBUTE timbre_1_min numeric 
@ATTRIBUTE timbre_1_max numeric 
@ATTRIBUTE timbre_1_range numeric 
@ATTRIBUTE timbre_1_median numeric 
@ATTRIBUTE timbre_2_mean numeric 
@ATTRIBUTE timbre_2_variance numeric 
@ATTRIBUTE timbre_2_skewness numeric 
@ATTRIBUTE timbre_2_kurtosis numeric 
@ATTRIBUTE timbre_2_standard_deviation numeric 
@ATTRIBUTE timbre_2_80th_percentile numeric 
@ATTRIBUTE timbre_2_min numeric 
@ATTRIBUTE timbre_2_max numeric 
@ATTRIBUTE timbre_2_range numeric 
@ATTRIBUTE timbre_2_median numeric 
@ATTRIBUTE timbre_3_mean numeric 
@ATTRIBUTE timbre_3_variance numeric 
@ATTRIBUTE timbre_3_skewness numeric 
@ATTRIBUTE timbre_3_kurtosis numeric 
@ATTRIBUTE timbre_3_standard_deviation numeric 
@ATTRIBUTE timbre_3_80th_percentile numeric 
@ATTRIBUTE timbre_3_min numeric 
@ATTRIBUTE timbre_3_max numeric 
@ATTRIBUTE timbre_3_range numeric 
@ATTRIBUTE timbre_3_median numeric 
@ATTRIBUTE timbre_4_mean numeric 
@ATTRIBUTE timbre_4_variance numeric 
@ATTRIBUTE timbre_4_skewness numeric 
@ATTRIBUTE timbre_4_kurtosis numeric 
@ATTRIBUTE timbre_4_standard_deviation numeric 
@ATTRIBUTE timbre_4_80th_percentile numeric 
@ATTRIBUTE timbre_4_min numeric 
@ATTRIBUTE timbre_4_max numeric 
@ATTRIBUTE timbre_4_range numeric 
@ATTRIBUTE timbre_4_median numeric 
@ATTRIBUTE timbre_5_mean numeric 
@ATTRIBUTE timbre_5_variance numeric 
@ATTRIBUTE timbre_5_skewness numeric 
@ATTRIBUTE timbre_5_kurtosis numeric 
@ATTRIBUTE timbre_5_standard_deviation numeric 
@ATTRIBUTE timbre_5_80th_percentile numeric 
@ATTRIBUTE timbre_5_min numeric 
@ATTRIBUTE timbre_5_max numeric 
@ATTRIBUTE timbre_5_range numeric 
@ATTRIBUTE timbre_5_median numeric 
@ATTRIBUTE timbre_6_mean numeric 
@ATTRIBUTE timbre_6_variance numeric 
@ATTRIBUTE timbre_6_skewness numeric 
@ATTRIBUTE timbre_6_kurtosis numeric 
@ATTRIBUTE timbre_6_standard_deviation numeric 
@ATTRIBUTE timbre_6_80th_percentile numeric 
@ATTRIBUTE timbre_6_min numeric 
@ATTRIBUTE timbre_6_max numeric 
@ATTRIBUTE timbre_6_range numeric 
@ATTRIBUTE timbre_6_median numeric 
@ATTRIBUTE timbre_7_mean numeric 
@ATTRIBUTE timbre_7_variance numeric 
@ATTRIBUTE timbre_7_skewness numeric 
@ATTRIBUTE timbre_7_kurtosis numeric 
@ATTRIBUTE timbre_7_standard_deviation numeric 
@ATTRIBUTE timbre_7_80th_percentile numeric 
@ATTRIBUTE timbre_7_min numeric 
@ATTRIBUTE timbre_7_max numeric 
@ATTRIBUTE timbre_7_range numeric 
@ATTRIBUTE timbre_7_median numeric 
@ATTRIBUTE timbre_8_mean numeric 
@ATTRIBUTE timbre_8_variance numeric 
@ATTRIBUTE timbre_8_skewness numeric 
@ATTRIBUTE timbre_8_kurtosis numeric 
@ATTRIBUTE timbre_8_standard_deviation numeric 
@ATTRIBUTE timbre_8_80th_percentile numeric 
@ATTRIBUTE timbre_8_min numeric 
@ATTRIBUTE timbre_8_max numeric 
@ATTRIBUTE timbre_8_range numeric 
@ATTRIBUTE timbre_8_median numeric 
@ATTRIBUTE timbre_9_mean numeric 
@ATTRIBUTE timbre_9_variance numeric 
@ATTRIBUTE timbre_9_skewness numeric 
@ATTRIBUTE timbre_9_kurtosis numeric 
@ATTRIBUTE timbre_9_standard_deviation numeric 
@ATTRIBUTE timbre_9_80th_percentile numeric 
@ATTRIBUTE timbre_9_min numeric 
@ATTRIBUTE timbre_9_max numeric 
@ATTRIBUTE timbre_9_range numeric 
@ATTRIBUTE timbre_9_median numeric 
@ATTRIBUTE timbre_10_mean numeric 
@ATTRIBUTE timbre_10_variance numeric 
@ATTRIBUTE timbre_10_skewness numeric 
@ATTRIBUTE timbre_10_kurtosis numeric 
@ATTRIBUTE timbre_10_standard_deviation numeric 
@ATTRIBUTE timbre_10_80th_percentile numeric 
@ATTRIBUTE timbre_10_min numeric 
@ATTRIBUTE timbre_10_max numeric 
@ATTRIBUTE timbre_10_range numeric 
@ATTRIBUTE timbre_10_median numeric 
@ATTRIBUTE timbre_11_mean numeric 
@ATTRIBUTE timbre_11_variance numeric 
@ATTRIBUTE timbre_11_skewness numeric 
@ATTRIBUTE timbre_11_kurtosis numeric 
@ATTRIBUTE timbre_11_standard_deviation numeric 
@ATTRIBUTE timbre_11_80th_percentile numeric 
@ATTRIBUTE timbre_11_min numeric 
@ATTRIBUTE timbre_11_max numeric 
@ATTRIBUTE timbre_11_range numeric 
@ATTRIBUTE timbre_11_median numeric 
@ATTRIBUTE timbre_12_mean numeric 
@ATTRIBUTE timbre_12_variance numeric 
@ATTRIBUTE timbre_12_skewness numeric 
@ATTRIBUTE timbre_12_kurtosis numeric 
@ATTRIBUTE timbre_12_standard_deviation numeric 
@ATTRIBUTE timbre_12_80th_percentile numeric 
@ATTRIBUTE timbre_12_min numeric 
@ATTRIBUTE timbre_12_max numeric 
@ATTRIBUTE timbre_12_range numeric 
@ATTRIBUTE timbre_12_median numeric 
@ATTRIBUTE position numeric 

@DATA 
263400, 95.05, 3, 1, 8, -6.312, 0.599, 0.448, 0.6312773218673219, 0.000025370250567163077, -1.1720365918277034, 13.557739531001037, 0.005036888977053502, 0.63402, 0.59627, 0.65836, 0.06208999999999998, 0.63147, 48.84198687664042, 32.88085243552333, -2.167334119623977, 10.984403770019808, 5.734182804508706, 53.203, 0.128, 58.27, 58.142, 49.8675, 34.5181154855643, 3218.215298939422, -0.5512031134263297, 1.2020925977810015, 56.729316045052244, 80.97, -209.988, 181.361, 391.349, 40.378, -22.70210761154856, 1069.6014917285765, -0.04323534865787066, 0.5422640307352287, 32.70476252365359, 3.34, -161.957, 102.519, 264.476, -23.028, -26.19701837270341, 1915.2997363356212, 1.5503932573448787, 14.29957551636511, 43.76413755960034, 4.767, -161.469, 401.328, 562.797, -28.494999999999997, 18.177929133858267, 737.9449092049523, 0.2517291203784749, -0.05818062770624087, 27.16514143539386, 40.981, -47.869, 110.663, 158.53199999999998, 17.249000000000002, -19.54781496062992, 671.9953993975186, -0.1996307166884854, 8.090096713995091, 25.922874057432725, -0.55, -247.634, 85.135, 332.769, -24.125999999999998, -11.825221784776902, 731.7480073090783, -0.43746089800494886, 0.15825374205682294, 27.050841157144784, 10.695, -100.479, 60.785, 161.264, -9.3395, -2.7172230971128606, 431.42902903159245, -0.10149881949541452, 2.6447012647169705, 20.77086972256079, 11.464, -121.296, 91.829, 213.125, -3.0255, 1.5456902887139108, 297.0020606547349, 0.04798255841473611, 0.01839089071375892, 17.23374772516805, 15.509, -51.75, 55.78, 107.53, 1.1280000000000001, -1.090943569553806, 224.3066226857919, -0.49979332740203547, 1.4261092436088418, 14.976869588995957, 10.216, -68.127, 45.422, 113.54899999999999, -0.26849999999999996, -10.757056430446195, 346.03234933933555, -0.75550994679178, 0.9916917884402018, 18.60194477304283, 2.903, -85.975, 41.07, 127.04499999999999, -7.9995, 0.8860734908136483, 235.63141114420569, 0.061651452092910224, -0.028665075253425345, 15.350290262539197, 12.746, -43.147, 52.506, 95.65299999999999, 1.1095000000000002, 1 
221013, 90.09, 4, 0, 8, -5.916, 0.748, 0.749, 0.662924, 0.000636, -14.865926, 253.050391, 0.025224, 0.66891, 0.23354, 0.7015, 0.46796, 0.66572, 48.087219, 37.960057, -1.914129, 6.576868, 6.161173, 52.839, 0, 58.09, 58.09, 49.2295, 46.62424, 2488.826127, 0.703416, 3.065515, 49.888136, 82.998, -136.077, 338.638, 474.715, 44.251, -3.679125, 2263.619633, 0.074755, 0.134321, 47.577512, 35.834, -138.178, 175.695, 313.873, -3.9975, -5.464036, 2711.96491, 0.124664, 0.601323, 52.076529, 38.463, -222.194, 183.556, 405.75, -8.536, 21.87356, 830.532014, 0.238308, -0.087827, 28.818952, 45.738, -62.535, 114.321, 176.856, 20.1625, -2.296977, 1229.488161, 0.436664, 0.589778, 35.064058, 26.14, -109.055, 128.268, 237.323, -4.917, -9.114329, 670.56462, -0.18082, -0.010525, 25.895263, 12.956, -106.52, 70.399, 176.919, -8.0395, -1.749227, 925.73256, -0.004593, 1.200327, 30.425853, 20.068, -120.593, 126.869, 247.462, -1.9905, -12.056945, 308.892253, 0.043113, 0.353406, 17.575331, 2.151, -63.72, 56.384, 120.104, -12.3645, -0.324185, 405.86175, 0.201682, 1.022852, 20.146011, 14.416, -70.672, 95.037, 165.709, -0.169, -19.062419, 554.324879, -0.512118, 0.755865, 23.544105, -0.023, -122.228, 43.982, 166.21, -17.605, -2.497013, 211.122213, -0.3286, 0.226628, 14.530045, 9.767, -52.319, 34.538, 86.857, -2.0785, 1 
215064, 106.93, 4, 0, 11, -3.953, 0.628, 0.797, 0.5643752380952382, 0.00011688998737717287, 2.0167759631271602, 7.078572368577331, 0.01081156729513223, 0.5658, 0.52678, 0.61763, 0.09084999999999999, 0.56136, 52.36187028301887, 32.31409509166408, -4.425533516997059, 25.969504660311294, 5.684548802821916, 55.674, 5.809, 59.075, 53.266000000000005, 53.3885, 41.803886792452836, 1107.0361092159587, -0.26143292942204044, 0.07405543895105363, 33.27215215786257, 70.834, -84.488, 143.476, 227.964, 43.042, 24.460193396226412, 1958.6028326253354, 0.6982180217950379, 0.7674238438653785, 44.256105032247646, 56.364, -86.373, 193.772, 280.145, 22.4835, -2.822686320754717, 1582.6601286917005, -0.47614297380222703, 4.12069081149351, 39.782661156485, 28.816, -306.909, 136.669, 443.578, -2.586, 23.075926886792452, 1013.1507419522023, 1.1168275153160951, 1.9785074953079491, 31.830028934203035, 42.148, -50.312, 149.02, 199.332, 18.435000000000002, -23.396218160377355, 618.8731900125475, 0.5074397828132361, 1.2740578389700705, 24.877162016848857, -6.578, -101.025, 75.445, 176.47, -24.657, 1.759267688679245, 640.5964331771629, -0.026605177824153173, -0.19253675134365103, 25.310006581926505, 23.603, -85.471, 66.838, 152.309, 0.8695, -1.3187594339622641, 426.627857331279, -0.09115004722689368, 0.468072671750787, 20.654971733974342, 16.135, -91.154, 79.313, 170.46699999999998, -1.2465, -0.19205542452830182, 309.73416271980494, 0.004650144727759835, -0.06288891280004776, 17.59926597105132, 14.612, -61.968, 46.759, 108.727, -0.4895, 1.2837334905660378, 209.8072035068028, -0.15028036276161913, 0.16169571775940308, 14.484723107702225, 13.479, -47.208, 47.927, 95.13499999999999, 2.017, -12.610237028301887, 307.5541192964119, -0.07967291033460125, 0.01564052134494142, 17.537220968454832, 1.428, -61.21, 49.665, 110.875, -11.1795, -6.549393867924529, 239.53736902647194, 0.23493684941625106, 0.05125657187196141, 15.476994831893947, 5.894, -51.509, 44.979, 96.488, -7.2445, 3 
217307, 104.988, 4, 1, 2, -4.333, 0.765, 0.523, 0.5715687634408603, 0.0000053690737397387064, 0.21302799086249127, 0.8027875073406574, 0.0023171261812293923, 0.57331, 0.5641, 0.57957, 0.015469999999999984, 0.571515, 50.384756443298976, 19.99468364042242, -2.9592002812329423, 20.40359559710095, 4.471541528424221, 53.698, 8.024, 57.686, 49.662, 51.1955, 19.659492268041237, 2498.528673471587, -0.8267603126270541, 1.3494129308041336, 49.98528456927686, 59.294, -179.415, 148.71, 328.125, 23.5185, 2.068644329896907, 1397.6862326595815, 0.38458799874493693, 0.6211981359317068, 37.38564206563238, 31.358, -102.007, 147.154, 249.161, -0.5295000000000001, -0.42468556701030935, 2609.8013505841213, 0.1804454085708744, 1.9473530146764408, 51.08621487822445, 36.81, -231.254, 204.451, 435.705, -5.158, 36.35510051546392, 862.6543896625783, 0.08930385206161022, 0.5225811939063557, 29.37097869773117, 59.223, -58.824, 147.346, 206.17000000000002, 36.338499999999996, -18.86982087628866, 1170.021455561987, 0.5042961172052518, 1.1730880547387443, 34.2055763810813, 5.28, -122.446, 102.409, 224.85500000000002, -24.3555, 3.9929458762886596, 617.4971904816067, -0.06517143252989788, 0.03384394239109836, 24.849490748939036, 25.081, -63.723, 94.465, 158.188, 3.6295, -2.9282229381443297, 686.0418119515862, -0.2759456237110292, 0.8386165406279011, 26.192399889120242, 16.057, -99.711, 105.803, 205.514, -0.049, -4.305501288659793, 293.5350036288638, -0.20676922965496936, 0.5015543270704275, 17.13286326417344, 9.63, -72.936, 44.611, 117.547, -4.112500000000001, -0.3041172680412371, 300.3777819926917, -0.15352757127666963, 1.2163595101061435, 17.331410271316404, 12.965, -75.065, 65.941, 141.006, -0.161, -12.693282216494845, 321.58873985205474, -0.5503837538971115, 1.2551219287387094, 17.93289546760519, 1.302, -92.834, 39.454, 132.288, -11.1405, 1.393368556701031, 230.55072914767103, 0.19136051474968085, 0.9091194047772808, 15.18389703428178, 12.274, -47.989, 56.829, 104.818, 1.5190000000000001, 5 
205748, 105.076, 4, 1, 3, -6.318, 0.638, 0.658, 0.567405782122905, 0.00013246294673465245, -1.5757361543265571, 2.6518663489343544, 0.011509254829686084, 0.57314, 0.52827, 0.59662, 0.06835000000000002, 0.5709299999999999, 49.20841403508772, 24.602870099919986, -3.0342955015914983, 16.909914554339117, 4.960128032613673, 52.595, 3.479, 55.267, 51.788000000000004, 50.59, 18.392450292397662, 2111.29779696332, -0.6632887191512777, 2.5729367001115677, 45.9488606710038, 52.949, -210.344, 168.589, 378.933, 20.418, -6.794045614035087, 1367.8030383873927, 0.11033426045898798, 0.4789614098993053, 36.98382130590878, 24.181, -132.442, 121.264, 253.70600000000002, -8.48, -6.466654970760234, 1851.5831822704283, 0.13614905978247416, 1.1498681165977713, 43.03002651951807, 24.108, -180.308, 155.215, 335.523, -7.887, 28.837425730994152, 747.3556465977002, 0.20274144409295486, 0.5655244443016989, 27.337806177484328, 49.867, -77.575, 132.306, 209.88100000000003, 28.326, -27.240568421052632, 1121.3438558850853, 0.16904323439317093, 0.9608385442860545, 33.48647272982159, -3.26, -135.077, 105.818, 240.89499999999998, -26.379, -8.883349707602338, 605.4679032823824, -0.22425955772297576, 0.029168962191582045, 24.6062574009617, 12.016, -88.403, 70.692, 159.095, -8.084, 0.29041754385964913, 577.0625638291658, -0.35129733254454837, 2.0486204361590388, 24.022126546772785, 17.566, -101.126, 98.702, 199.828, 0.614, -5.0184058479532165, 322.0097488984452, -0.264513326127353, 0.9028707593321194, 17.94463008530533, 9.153, -74.105, 55.205, 129.31, -4.925, 2.587837426900585, 308.87940121450595, 0.6032198007962025, 4.084304394231595, 17.57496518387749, 15.241, -51.993, 125.116, 177.109, 3.372, -10.078669005847955, 333.4224888413203, -0.41376547659880814, 0.6610792531211164, 18.2598600444067, 4.114, -77.063, 47.994, 125.057, -8.699, -2.0117684210526314, 186.70051021537702, -0.06872971613995776, 0.03691282833885115, 13.663839512208018, 9.115, -44.627, 43.273, 87.9, -1.165, 4 
196489, 122.029, 4, 0, 0, -7.202, 0.703, 0.832, 0.492333, 0.000021, 3.445159, 20.783842, 0.00455, 0.4931, 0.47783, 0.52403, 0.0462, 0.49183, 49.167614, 26.982857, -3.193342, 18.686568, 5.194503, 52.621, 1.027, 54.685, 53.658, 50.8855, 96.000236, 2459.505991, -0.532423, 0.292145, 49.593407, 135.645, -75.638, 272.885, 348.523, 105.9135, 6.641429, 1890.367676, 0.480416, 0.035359, 43.478359, 41.512, -98.358, 151.908, 250.266, 2.364, -5.797386, 1305.790413, 0.755472, 2.22016, 36.135722, 18.947, -125.341, 142.067, 267.408, -9.792, 20.623724, 904.929184, 0.117034, -0.442025, 30.082041, 45.369, -48.357, 115.001, 163.358, 23.5525, -31.138679, 930.907953, 0.728619, 9.695784, 30.510784, -8.821, -136.893, 255.131, 392.024, -29.616, -10.989125, 810.041094, -1.186209, 1.632342, 28.461221, 11.358, -117.425, 52.288, 169.713, -5.493, 7.035839, 400.757385, -0.314785, 0.612126, 20.018926, 23.665, -64.089, 67.359, 131.448, 6.9185, 1.998438, 183.528727, -0.061887, -0.515697, 13.547277, 13.998, -38.374, 39.307, 77.681, 2.347, -1.506965, 243.890378, 0.221225, 2.833828, 15.61699, 10.413, -57.488, 107.034, 164.522, -0.7645, -6.954385, 258.314652, 0.004714, 0.118211, 16.07217, 6.336, -51.08, 54.352, 105.432, -5.5795, 6.619529, 231.180232, -0.050657, 0.854179, 15.204612, 18.121, -49.568, 60.697, 110.265, 7.207, 7 
202827, 70.231, 3, 0, 7, -7.867, 0.45, 0.465, 0.724193, 0.017571, -0.104633, -1.952796, 0.132556, 0.85441, 0.57265, 0.88921, 0.31656, 0.81997, 43.791825, 80.878777, -2.752654, 8.099302, 8.993263, 48.918, 0.002, 53.21, 53.208, 46.471, 33.735226, 2774.784746, -0.534532, 1.686678, 52.676226, 74.06, -186.669, 184.406, 371.075, 35.942, -8.940457, 1736.383953, -0.020972, 0.992003, 41.669941, 24.559, -194.851, 177.474, 372.325, -7.782, 2.662766, 3661.636257, 0.909874, 1.422057, 60.511456, 43.632, -157.765, 230.151, 387.916, -10.279, 32.800977, 1395.623447, 0.297264, 0.295151, 37.358044, 62.609, -53.675, 176.066, 229.741, 32.225, -22.632723, 1047.930934, 0.402678, 0.838871, 32.371761, 1.065, -99.501, 115.765, 215.266, -22.44, -7.567749, 882.949599, 0.149171, -0.306864, 29.714468, 17.117, -86.872, 75.933, 162.805, -9.493, -9.351028, 1135.703137, -0.097624, 0.197653, 33.700195, 17.498, -117.519, 109.307, 226.826, -6.44, -15.045478, 444.761814, 0.228289, -0.165049, 21.089377, 4.011, -76.809, 57.352, 134.161, -15.649, -2.069388, 465.169481, -0.280154, 0.399705, 21.567788, 15.409, -82.277, 80.976, 163.253, -0.847, -12.507449, 383.006957, -0.371235, 0.715271, 19.570564, 2.594, -89.87, 51.049, 140.919, -10.864, -0.398236, 277.875874, -0.061302, -0.297765, 16.669609, 13.694, -49.761, 47.48, 97.241, 0.164, 2 
197993, 124.946, 4, 0, 11, -4.59, 0.72, 0.807, 0.480297, 0.000025, 0.539473, 15.87325, 0.004946, 0.48244, 0.45144, 0.51016, 0.05872, 0.47993, 50.4976, 26.886677, -2.394716, 13.085233, 5.185236, 54.211, 0, 58.159, 58.159, 51.9295, 53.300703, 2333.293647, 0.069124, 0.625713, 48.304178, 93.34, -120.849, 225.718, 346.567, 50.5895, 9.019357, 1798.565612, 0.450472, 0.439482, 42.409499, 41.46, -116.686, 145.495, 262.181, 4.397, -4.716328, 1629.131281, 0.771613, 8.769271, 40.362498, 24.228, -159.042, 356.473, 515.515, -4.34, 29.688631, 1029.44933, 0.274945, -0.257039, 32.085033, 58.87, -56.526, 123.88, 180.406, 26.644, -20.416578, 1115.772868, 0.220255, 0.349147, 33.403186, 5.641, -113.217, 93.759, 206.976, -22.8855, -3.617179, 748.956334, -0.294359, 0.826956, 27.367067, 16.938, -106.787, 81.953, 188.74, -2.1465, -5.59731, 712.67193, 0.146576, 2.21374, 26.695916, 12.974, -108.176, 119.315, 227.491, -5.661, -7.930749, 297.481742, -0.0222, 0.231498, 17.247659, 6.375, -64.029, 43.593, 107.622, -8.3745, 2.395731, 330.836711, -0.067107, 0.490654, 18.188917, 18.004, -56.303, 80.881, 137.184, 2.8275, -10.57241, 318.35268, -0.192776, 0.724616, 17.84244, 3.502, -67.379, 55.462, 122.841, -9.413, 0.389547, 147.996842, 0.034045, 0.479773, 12.165395, 10.56, -45.918, 49.532, 95.45, -0.0105, 9 
212120, 148.066, 4, 0, 5, -5.665, 0.656, 0.721, 0.406025, 0.000026, 1.720498, 5.631753, 0.00514, 0.4084, 0.39255, 0.43082, 0.03827, 0.40529, 49.729493, 28.332735, -2.326029, 13.088968, 5.32285, 53.889, 0.026, 57.294, 57.268, 51.334, 21.423857, 2644.097914, -0.91359, 2.337073, 51.420793, 60.113, -222.309, 176.895, 399.204, 28.271, -2.574158, 1160.423462, 0.417839, 1.306455, 34.064989, 22.722, -159.037, 134.623, 293.66, -5.17, -13.245753, 1837.678966, 0.170512, 6.77704, 42.868158, 14.265, -275.422, 277.372, 552.794, -12.963, 28.124458, 653.351291, 0.441829, 0.658092, 25.560737, 47.391, -45.272, 121.644, 166.916, 26.465, -11.76423, 951.336581, 1.153084, 3.157743, 30.843745, 9.147, -79.71, 178.582, 258.292, -16.643, -0.445222, 490.105903, -0.353218, 0.16316, 22.138336, 18.955, -87.112, 56.303, 143.415, 0.993, -0.345527, 822.066465, 0.94393, 4.309355, 28.671701, 17.936, -104.451, 173.236, 277.687, -2.59, -6.581645, 227.896837, -0.029366, 0.456771, 15.096252, 6.08, -57.803, 47.392, 105.195, -6.418, -2.426278, 390.426979, 0.483597, 1.658456, 19.759225, 11.725, -60.603, 92.236, 152.839, -3.239, -13.584507, 367.966497, -0.455428, 0.770535, 19.182453, 2.42, -88.134, 48.275, 136.409, -12.378, 1.777432, 204.525978, -0.363769, 0.224419, 14.301258, 13.995, -41.829, 46.856, 88.685, 3.203, 6 
182400, 100.048, 4, 1, 2, -2.499, 0.698, 0.916, 0.5996400343642612, 0.000054352693813252074, 0.04563601196396723, 3.495311500572667, 0.007372427945612766, 0.60252, 0.57613, 0.62467, 0.04853999999999992, 0.6, 53.26179176470588, 14.680900550755693, -5.313037946836523, 55.77211551275249, 3.8315663312483177, 55.812, 0, 58.387, 58.387, 53.81, 79.86326470588234, 1215.8491193828727, -0.03925455988701345, 0.8195895121389022, 34.869028081993804, 107.1555, -44.158, 201.087, 245.245, 80.8295, 14.067535294117647, 1743.1394841993438, -0.21304797712627022, 0.5239256732977694, 41.75092195627953, 47.454, -148.545, 173.549, 322.094, 16.7935, 3.7425964705882353, 1437.3745422077507, 0.6977557882395993, 9.112112243419643, 37.912722695788425, 34.070499999999996, -137.397, 360.424, 497.82099999999997, 5.134, 19.22502588235294, 677.005763874624, 0.22314771076337145, 0.06704680166781146, 26.019334424128225, 41.105000000000004, -47.93, 103.728, 151.658, 17.1615, -22.495402352941177, 941.7769268781109, 0.15671924564738182, -0.07180953268825022, 30.688384233747318, 3.6340000000000003, -95.613, 79.332, 174.945, -22.6775, -1.3497164705882354, 576.3151868360825, -0.0699935142361003, -0.011185355847675825, 24.006565494382624, 17.686, -75.789, 62.118, 137.907, -1.8225, -0.6084729411764705, 400.32658133867966, 0.18951484873401425, 1.1615928088780703, 20.008162867656782, 14.8305, -71.886, 95.174, 167.06, -0.3095, -8.347157647058824, 246.77647693044156, 0.23924492162326597, 0.43055628066167506, 15.709120819779876, 4.62, -59.956, 45.638, 105.594, -9.24, 8.41104, 310.12539401722324, 0.11474230865761809, -0.13910414841053872, 17.61037745243478, 23.4155, -52.6, 59.356, 111.956, 7.37, -13.234130588235294, 289.46845931353505, -0.5935162897676182, 3.5756400794953045, 17.01377263611851, -0.2575, -134.874, 49.559, 184.433, -12.314, -2.801184705882353, 235.56812690588367, 0.0531703001857681, 0.39339961303072213, 15.348228787253715, 9.422, -62.376, 44.427, 106.803, -2.8805, 11 
