@RELATION api/public/arff/genre_classification.arff 

@ATTRIBUTE speechiness numeric 
@ATTRIBUTE acousticness numeric 
@ATTRIBUTE instrumentalness numeric 
@ATTRIBUTE liveness numeric 
@ATTRIBUTE valence numeric 
@ATTRIBUTE duration_ms numeric 
@ATTRIBUTE tempo numeric 
@ATTRIBUTE time_signature {0,1,2,3,4,5} 
@ATTRIBUTE mode {0,1} 
@ATTRIBUTE key {0,1,2,3,4,5,6,7,8,9,10,11} 
@ATTRIBUTE loudness numeric 
@ATTRIBUTE danceability numeric 
@ATTRIBUTE energy numeric 
@ATTRIBUTE genre {1,2,3} 

@DATA 
0.174, 0.0331, 0.0000108, 0.297, 0.762, 250240, 91.456, 4, 0, 10, -9.207, 0.868, 0.678, 3 
0.259, 0.168, 0, 0.369, 0.551, 293000, 102.83, 4, 1, 7, -7.036, 0.697, 0.9, 3 
0.115, 0.0635, 0, 0.157, 0.546, 235907, 88.987, 4, 0, 8, -8.751, 0.779, 0.477, 3 
0.0272, 0.428, 0, 0.105, 0.359, 269027, 164.021, 4, 0, 3, -8.874, 0.555, 0.543, 3 
0.043, 0.0641, 0.000515, 0.0489, 0.728, 350600, 110.021, 4, 0, 10, -11.318, 0.721, 0.609, 3 
0.0421, 0.0404, 0.324, 0.0271, 0.911, 286067, 109.867, 4, 1, 4, -8.181, 0.739, 0.704, 3 
0.0351, 0.256, 0.00000782, 0.337, 0.516, 229667, 92.193, 4, 0, 0, -9.774, 0.582, 0.638, 3 
0.253, 0.121, 0.000134, 0.314, 0.312, 229400, 96.056, 4, 0, 9, -6.645, 0.78, 0.467, 3 
0.0844, 0.0326, 0.0000542, 0.0726, 0.834, 257040, 106.029, 4, 0, 4, -5.324, 0.716, 0.74, 3 
0.12, 0.151, 0.0000225, 0.159, 0.42, 306133, 87.179, 4, 1, 10, -7.622, 0.768, 0.496, 3 
0.288, 0.303, 0, 0.284, 0.67, 304600, 88.641, 4, 0, 1, -4.674, 0.868, 0.646, 3 
0.0391, 0.114, 0.00145, 0.0938, 0.375, 330200, 141.504, 4, 0, 6, -11.833, 0.68, 0.394, 3 
0.0246, 0.148, 0.0000776, 0.137, 0.735, 274000, 95.604, 4, 0, 10, -5.541, 0.731, 0.738, 3 
0.0807, 0.0486, 0, 0.293, 0.605, 260067, 98.678, 4, 0, 11, -6.174, 0.698, 0.71, 3 
0.108, 0.413, 0, 0.0474, 0.909, 240360, 191.111, 4, 1, 10, -2.831, 0.714, 0.572, 3 
0.328, 0.116, 0, 0.0777, 0.674, 290693, 177.153, 4, 1, 0, -7.152, 0.497, 0.632, 3 
0.167, 0.061, 0.00559, 0.204, 0.295, 226133, 80.386, 4, 0, 11, -10.946, 0.765, 0.403, 3 
0.0377, 0.221, 0, 0.0981, 0.588, 193447, 95.472, 4, 1, 8, -4.632, 0.433, 0.745, 3 
0.0413, 0.0881, 0.00000118, 0.0549, 0.626, 272333, 137.972, 4, 0, 0, -6.276, 0.704, 0.549, 3 
0.0421, 0.134, 0.00143, 0.142, 0.509, 389107, 87.86, 4, 1, 8, -9.905, 0.769, 0.387, 3 
0.312, 0.24, 0, 0.774, 0.755, 273427, 173.84, 4, 0, 9, -7.636, 0.578, 0.819, 3 
0.0316, 0.0266, 0, 0.0861, 0.698, 286000, 96.905, 4, 0, 9, -6.407, 0.782, 0.683, 3 
0.094, 0.133, 0.0141, 0.0576, 0.769, 290627, 85.452, 4, 0, 8, -8.735, 0.775, 0.568, 3 
0.0478, 0.218, 0.00149, 0.0982, 0.367, 303427, 152.948, 4, 1, 11, -6.397, 0.594, 0.653, 3 
0.0308, 0.152, 0.00281, 0.368, 0.651, 291120, 82.532, 4, 1, 6, -6.027, 0.691, 0.562, 3 
0.114, 0.24, 0.00011, 0.0742, 0.733, 271440, 91.043, 4, 0, 1, -6.015, 0.875, 0.63, 3 
0.166, 0.627, 0.00253, 0.179, 0.663, 336267, 168.076, 4, 0, 4, -9.935, 0.592, 0.686, 3 
0.0341, 0.0497, 0, 0.0908, 0.7, 311640, 81.826, 4, 0, 2, -5.069, 0.789, 0.541, 3 
